,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
47,47.0,Serbia,11159,67.0,238.0,0.0,5857.0,5064.0,12.0,1277.0,27.0,217856.0,24924.0,8740651.0
48,48.0,Panama,10926,349.0,306.0,7.0,6279.0,4341.0,72.0,2536.0,71.0,58240.0,13520.0,4307725.0
49,49.0,Afghanistan,10582,584.0,218.0,2.0,1075.0,9289.0,19.0,272.0,6.0,30052.0,774.0,38834157.0
50,50.0,Bahrain,9138,336.0,14.0,1.0,4587.0,4537.0,8.0,5392.0,8.0,276552.0,163176.0,1694805.0
51,51.0,Czechia,8955,65.0,315.0,1.0,6078.0,2562.0,29.0,836.0,29.0,399896.0,37349.0,10707069.0
52,52.0,Norway,8352,6.0,235.0,0.0,7727.0,390.0,12.0,1542.0,43.0,229769.0,42416.0,5417027.0
53,53.0,Kazakhstan,8322,403.0,35.0,0.0,4352.0,3935.0,31.0,444.0,2.0,657214.0,35044.0,18753881.0
54,54.0,Algeria,8306,193.0,600.0,8.0,4578.0,3128.0,22.0,190.0,14.0,0.0,0.0,43767938.0
55,55.0,Nigeria,7839,313.0,226.0,5.0,2263.0,5350.0,7.0,38.0,1.0,44458.0,216.0,205584173.0
56,56.0,Oman,7770,513.0,37.0,1.0,1933.0,5800.0,31.0,1526.0,7.0,72000.0,14139.0,5092460.0
57,57.0,Morocco,7433,27.0,199.0,1.0,4703.0,2531.0,1.0,202.0,5.0,142882.0,3876.0,36866123.0
58,58.0,Malaysia,7245,60.0,115.0,0.0,5945.0,1185.0,9.0,224.0,4.0,507682.0,15706.0,32323664.0
59,59.0,Australia,7114,3.0,102.0,0.0,6508.0,504.0,5.0,279.0,4.0,1224627.0,48081.0,25469872.0
60,60.0,Moldova,7093,99.0,250.0,8.0,3713.0,3130.0,286.0,1758.0,62.0,40565.0,10054.0,4034845.0
61,61.0,Ghana,6683,66.0,32.0,1.0,1998.0,4653.0,16.0,216.0,1.0,193705.0,6248.0,31003853.0
62,62.0,Armenia,6661,359.0,81.0,4.0,3064.0,3516.0,10.0,2248.0,27.0,50397.0,17010.0,2962710.0
63,63.0,Finland,6579,11.0,307.0,1.0,4800.0,1472.0,19.0,1188.0,55.0,166900.0,30127.0,5539893.0
64,64.0,Bolivia,5915,336.0,240.0,10.0,609.0,5066.0,3.0,507.0,21.0,14803.0,1270.0,11656694.0
